name	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	det	det:num	discourse	dislocated	flat	flat:foreign	flat:name	goeswith	list	mod	mod:appos	mod:emph	mod:num	mod:periph	mod:poss	orphan	parataxis	parataxis:conj	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:obj	parataxis:parenth	punct	reparandum	subj	udep	unk	vocative	total
Afrikaans	3.44444	2.39799	0	1.17008	2.41453	0	0.33939	6.55008	-0.23653	0.95062	0	0	0	3.83896	0	0	0	3.24754	0	-1.3102	0	0	0	1.45887	0	0	0	0	-0.63868	0	0	0	0	0	0	0	0	0	0	0	0	0	3.44763	0	-3.87158	0.30979	4.55282	0	0.7737829151966131
Assyrian	0	-0.92	0	0.65493	0.36842	0	1.3012	1.0	-0.9375	-1.0	0	0	0	3.83333	0	0	0	0	0	-1.0625	0	0	0	0	0	0	0	0	-0.625	0	0	0	0	0	0	6.5	0	0	0	0	0	0	3.92424	0	-2.12195	1.25	0	0	0.7881030669144982
SouthLevantineArabic	0	-0.28571	0	1.15284	1.08	0	1.12717	1.46429	0.33333	0	0	0	0	2.4	0	0	0	0	0	-0.89474	0	-0.30769	0	1.0	0	0	0	0	1.14474	0	0	0	0	0	0	3.6	0	0	0	0	0	0	4.45652	0	0.04878	1.72881	-2.66667	0	1.5642711437908499
Akkadian	7.83477	-2.49432	0	-1.16726	0	0	-1.10335	-5.98113	-14.2	-2.14286	0	0	0	3.05205	0	0	0	3.74359	0	1.01279	0	-7.55556	0	1.11111	0	0	0	3.85714	1.02571	0	0	0	0	0	0	5.68519	0	0	0	0	0	0	0	0	-6.56667	-3.95093	0.6478	-10.6	0.09068062735953808
Amharic	0	0.80682	-1.0	-0.63199	-1.50157	0	-0.31562	-2.70103	-1.72472	-2.175	0	0	0	3.83333	0	0	0	4.0	0	0.67505	0	1.31579	0	1.25	0	0	0.61538	0	-2.27136	0	0	0	0	0	0	-1.83333	0	0	0	0	0	0	2.44597	0	-1.41184	-2.90488	1.27344	0	-0.380941895693944
Apurinã	0	-2.33333	0	1.02632	2.6	0	0.91549	0	0	0	0	0	0	3.41667	0	0	0	2.0	0	-1.125	0	0	0	0	0	0	0	0	-0.88889	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59829	0	-0.82222	0.52778	-1.5	0	0.783972787456446
Akuntsu	1.0	0	0	-0.8	-1.0	0	-1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	-1.0	0	0	0	0	0	-0.05556	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	-0.6875	2.0	1.0	0	-0.4084518309859155
Arabic	3.19444	-0.26818	0	2.81374	0.79497	0	1.94988	7.0094	2.52948	0.0571	0	0	0	6.88631	0	0	0	8.08184	0	-0.61906	0	0.94737	-5.55288	1.24942	0	0	1.5	0	1.78086	0	0	0	0	0	23.71491	9.68115	0	0	0	0	0	0	14.58071	0	0.37592	3.28285	3.18926	9.0	3.2357401378802084
Belarusian	2.26524	-1.97929	0	1.31269	0.79796	0	1.38073	0.5583	0.8563	-1.12788	0	0	0	4.2924	0	0	0	4.50562	0	-1.16408	0	3.3964	-3.33333	1.08013	0	0	5.92308	3.34507	-0.1056	0	0	0	0	0	0.32447	4.03357	0	0	0	0	0	0	2.68257	0	-1.16954	0.355	0.34539	-1.12381	1.090318264922311
Bulgarian	3.76471	-1.91367	0	1.27364	1.1653	0	1.40452	0.70382	0.67758	1.5	0	0	0	4.64529	0	0	0	3.82707	0	-0.3342	0	-0.23589	0	1.05782	0	0	1.33333	0	-0.18615	0	0	0	0	0	0	-10.97727	0	0	0	0	0	0	4.39781	0	-1.4375	0.74103	-0.40334	-0.31034	1.1267411546016008
Bhojpuri	2.0	-3.25926	2.0	-0.39863	-0.91346	0	-0.21957	0.79245	-5.86364	-2.19357	0	0	0	3.27679	0	0	0	1.0	0	-1.47126	0	-9.875	0	1.0	0	0	1.0	1.2	-3.86483	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87338	0	-6.14138	-3.97315	1.08333	0	-1.526920807633974
Bambara	1.04762	-1.33333	0	0.52865	1.87473	0	-0.37229	2.52439	-0.4	1.6	0	0	0	2.60938	0	0	0	0	0	0.80079	0	-1.25835	-3.60417	1.0	0	0	0	0	-1.90739	0	0	0	0	0	1.53333	5.79894	0	0	0	0	0	0	6.43628	-4.8	-1.19386	1.43448	0.58537	-1.85455	1.1027395237816309
Breton	2.66667	-1.47573	0	1.10841	0.4955	0	1.62295	2.39506	0.0614	1.68421	0	0	0	4.1519	0	0	0	4.5	0	-1.04312	0	-2.0	-4.0	1.2	0	0	0	1.5	1.1825	0	0	0	0	0	1.0	6.02703	0	0	0	0	0	0	5.93322	0	0.37088	1.90644	0.18584	4.0	1.4001790621663792
Buryat	2.46774	0.13924	0	-1.27239	-1.03593	0	-1.29281	-1.58929	-1.34524	-1.35404	0	0	0	3.09319	0	0	0	5.0	0	-1.17373	0	0.16332	2.0	1.02847	0	0	1.5	2.0	-2.10412	0	0	0	0	0	-1.14286	5.40511	0	0	0	0	0	0	1.59074	0	-4.04435	-2.62136	1.24675	-7.5	-0.7888090466511806
Catalan	5.17101	-1.90085	0	1.40214	1.02377	0	1.46884	1.08739	1.43802	1.32177	0	0	0	7.43636	0	0	0	6.94643	0	-1.10063	0	0	0	1.90635	0	0	0	0	1.34977	0	0	0	0	0	7.78571	-1.65803	0	0	0	0	0	0	8.37671	0	-2.71133	1.28324	1.45241	0	1.6301160816823346
Chukot	2.13725	-2.09756	0	-0.28338	1.3617	0	-0.46693	2.0	-0.9	0	0	0	0	1.96471	0	0	0	0	0	-0.89744	0	-1.81667	-3.625	1.02222	0	0	0	0	-0.50092	0	0	0	0	0	0.72727	3.01604	0	0	0	0	0	0	2.88446	-1.2678	-1.33741	-0.92027	-0.58065	-1.97222	0.20867300346273004
Coptic	3.73011	-2.64227	0	1.74923	2.08311	0	1.68921	3.89399	-1.77727	-1.19231	0	0	0	7.24695	0	0	0	5.66667	0	-0.85861	0	1.08621	-2.20133	1.0	0	0	0	0	0.97785	0	0	0	0	0	0.7619	9.83811	0	0	0	0	0	0	12.00032	-4.71429	0.2451	1.80943	1.20979	3.24031	1.8814626941903199
OldChurchSlavonic	2.28018	0.87564	0	0.98211	0.39899	0	1.07589	1.14809	0.26169	0	0	0	0	4.63265	0	0	0	4.29885	0	0.16899	0	-1.9774	-5.9562	1.41935	0	0	0	0	-0.1136	0	0	0	0	0	1.50249	0.29167	0	0	0	0	0	0	0	0	-0.92262	0.70867	0.94681	-1.42219	0.683760381727066
Welsh	3.94706	-1.43235	0	1.52041	1.06736	0	1.25492	2.13832	2.46819	0.95455	0	0	0	5.94787	0	0	0	5.86047	0	-0.95987	0	-2.75	0	1.06533	0	0	0	0	0.84277	0	0	0	0	0	0	11.98246	0	0	0	0	0	0	6.51175	0	0.60458	1.8419	-0.56356	6.0	1.6694602303053787
Danish	2.43575	-1.76249	0	1.58515	2.08745	0	1.52969	0.7	1.51711	0.47342	0	0	0	5.35348	0	0	0	6.40299	0	-1.7416	0	-0.9375	0	1.25791	0	0	1.25	3.73367	0.40012	0	0	0	0	0	0	1.0	0	0	0	0	0	0	6.50118	-4.0	-1.11976	1.21584	0.78501	0.6875	1.5899297857950934
Greek	5.4697	-2.03998	0	1.96435	1.0719	0	2.2563	1.32035	1.2543	0.72727	0	0	0	6.29301	0	0	0	5.77778	0	-1.27677	0	0.28571	0	1.33735	0	0	0	0	0.55046	0	0	0	0	0	0.04878	6.72566	0	0	0	0	0	0	7.62494	0	-1.31609	0.97476	0.68182	-4.36486	1.4219721110647516
English	3.70194	-2.16607	0	1.78341	1.33333	0	1.87633	1.59291	1.84311	-0.96708	0	0	0	5.88848	0	0	0	5.3888	0	-1.56486	0	-0.37621	0.0	1.18112	0	0	2.0646	7.55491	-0.17029	0	0	0	0	0	1.08333	9.9388	0	0	0	0	0	0	6.58545	-1.28571	-1.41806	1.11768	1.0256	-1.22047	1.4600796384416967
Spanish	3.41701	-1.94861	0	1.49438	0.97499	0	1.63137	0.1466	1.34829	0.75861	0	0	0	6.53517	0	0	0	5.69026	0	-1.11924	0	-6.42202	0	1.49753	0	0	1.21739	3.3125	1.01896	0	0	0	0	0	3.95238	10.25666	0	0	0	0	0	0	7.46647	0	-2.62782	1.20004	0.83281	1.0	1.6063476798377139
Estonian	1.8022	-1.90255	0	1.37759	1.9058	0	1.21167	2.92083	1.4327	0.73635	0	0	0	4.7536	0	0	0	4.79958	0	-1.32397	0	-0.70596	0	1.30045	0	0	1.25234	6.69231	-0.58706	0	0	0	0	0	0.67414	4.90917	0	0	0	0	0	0	4.16675	0.33333	-0.01253	0.65284	1.06993	-0.31373	1.1936841125051303
Basque	3.93514	-3.10496	0	-0.75812	-0.74405	0	-0.79802	-0.44758	-0.77056	-1.01367	0	0	0	5.4068	0	0	0	3.78652	0	0.25726	0	-1.28788	0	1.01118	0	0	0	0	-0.9204	0	0	0	0	0	0	4.18367	0	0	0	0	0	0	1.93084	0	-2.67147	-1.11764	1.14236	0.35714	-0.32967641981812923
