name	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	det	det:num	discourse	dislocated	flat	flat:foreign	flat:name	goeswith	list	mod	mod:appos	mod:emph	mod:num	mod:periph	mod:poss	orphan	parataxis	parataxis:conj	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:obj	parataxis:parenth	punct	reparandum	subj	udep	unk	vocative	total
Afrikaans	0.00101	0.03026	0.0	0.23262	0.03996	0.0	0.16156	0.01889	0.0122	0.0052	0.0	0.0	0.0	0.03326	0.0	0.0	0.0	0.00816	0.0	0.09265	0.0	0.0	0.0	0.0037	0.0	0.0	0.0	0.0	0.11136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07212	0.0	0.05632	0.09401	0.02672	0.0	62356
Assyrian	0.0	0.04647	0.0	0.26394	0.03532	0.0	0.15428	0.01487	0.05948	0.00743	0.0	0.0	0.0	0.04461	0.0	0.0	0.0	0.0	0.0	0.02974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08922	0.0	0.0	0.0	0.0	0.0	0.0	0.00372	0.0	0.0	0.0	0.0	0.0	0.0	0.12268	0.0	0.07621	0.05204	0.0	0.0	538
SouthLevantineArabic	0.0	0.01525	0.0	0.24946	0.02723	0.0	0.18845	0.0305	0.00327	0.0	0.0	0.0	0.0	0.01089	0.0	0.0	0.0	0.0	0.0	0.0207	0.0	0.01416	0.0	0.00654	0.0	0.0	0.0	0.0	0.16558	0.0	0.0	0.0	0.0	0.0	0.0	0.00545	0.0	0.0	0.0	0.0	0.0	0.0	0.15033	0.0	0.04466	0.06427	0.00327	0.0	918
Akkadian	0.0728	0.01954	0.0	0.18765	0.0	0.0	0.18551	0.00196	0.00019	0.00026	0.0	0.0	0.0	0.10027	0.0	0.0	0.0	0.00144	0.0	0.07813	0.0	0.00033	0.0	0.00033	0.0	0.0	0.0	0.00104	0.19724	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01999	0.11918	0.01177	0.00037	27018
Amharic	0.0	0.00755	9e-05	0.23332	0.02736	0.0	0.18236	0.00832	0.01527	0.00686	0.0	0.0	0.0	0.00412	0.0	0.0	0.0	0.00017	0.0	0.04092	0.0	0.01793	0.0	0.00034	0.0	0.0	0.00112	0.0	0.09135	0.0	0.0	0.0	0.0	0.0	0.0	0.00051	0.0	0.0	0.0	0.0	0.0	0.0	0.09367	0.0	0.13476	0.03517	0.09882	0.0	11658
Apurinã	0.0	0.00523	0.0	0.1324	0.00871	0.0	0.12369	0.0	0.0	0.0	0.0	0.0	0.0	0.08362	0.0	0.0	0.0	0.00523	0.0	0.04181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20383	0.0	0.15679	0.06272	0.00348	0.0	574
Akuntsu	0.01408	0.0	0.0	0.21127	0.02817	0.0	0.16901	0.01408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01408	0.01408	0.0	0.0	0.0	0.0	0.0	0.25352	0.0	0.0	0.0	0.0	0.0	0.0	0.01408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22535	0.02817	0.01408	0.0	71
Arabic	0.0008	0.04605	0.0	0.26868	0.00387	0.0	0.21347	0.04617	0.00517	0.00099	0.0	0.0	0.0	0.00995	0.0	0.0	0.0	0.00036	0.0	0.00478	0.0	4e-05	0.00015	0.01219	0.0	0.0	0.0	0.0	0.23871	0.0	0.0	0.0	0.0	0.0	0.00016	0.00395	0.0	0.0	0.0	0.0	0.0	0.0	0.07204	0.0	0.03578	0.02702	0.00966	0.0	1386711
Belarusian	0.01692	0.02749	0.0	0.15544	0.00295	0.0	0.14008	0.00787	0.00455	0.0016	0.0	0.0	0.0	0.04266	0.0	0.0	0.0	0.00179	0.0	0.01594	0.0	0.00074	3e-05	0.01915	0.0	0.0	0.00026	0.0019	0.18716	0.0	0.0	0.0	0.0	0.0	0.00063	0.02155	0.0	0.0	0.0	0.0	0.0	0.0	0.17181	0.0	0.06215	0.09392	0.02305	0.00035	298563
Bulgarian	0.00018	0.02555	0.0	0.23774	0.03269	0.0	0.17228	0.01993	0.01284	1e-05	0.0	0.0	0.0	0.02924	0.0	0.0	0.0	0.0007	0.0	0.01818	0.0	0.00363	0.0	0.0089	0.0	0.0	2e-05	0.0	0.14126	0.0	0.0	0.0	0.0	0.0	0.0	0.00231	0.0	0.0	0.0	0.0	0.0	0.0	0.11584	0.0	0.06277	0.09395	0.02168	0.0003	190412
