name	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	det	det:num	discourse	dislocated	flat	flat:foreign	flat:name	goeswith	list	mod	mod:appos	mod:emph	mod:num	mod:periph	mod:poss	orphan	parataxis	parataxis:conj	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:obj	parataxis:parenth	punct	reparandum	subj	udep	unk	vocative	total
Afrikaans	100.0	96.02543720190779	0	68.01103067907619	59.831460674157306	0	68.5626364899742	95.41595925297113	45.07227332457293	37.03703703703704	0	0	0	99.85535197685631	0	0	0	100.0	0	0.13848018002423404	0	0	0	100.0	0	0	0	0	35.57027649769585	0	0	0	0	0	0	0	0	0	0	0	0	0	92.79519679786524	0	12.101366742596811	71.25554418287274	95.13805522208884	0	59.936493681442045
Assyrian	0	28.0	0	73.94366197183099	68.42105263157895	0	93.97590361445783	100.0	18.75	0.0	0	0	0	100.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	41.666666666666664	0	0	0	0	0	0	100.0	0	0	0	0	0	0	89.39393939393939	0	2.4390243902439024	100.0	0	0	65.24163568773234
SouthLevantineArabic	0	28.571428571428573	0	96.94323144104804	100.0	0	97.10982658959537	96.42857142857143	66.66666666666667	0	0	0	0	100.0	0	0	0	0	0	5.2631578947368425	0	30.76923076923077	0	100.0	0	0	0	0	85.52631578947368	0	0	0	0	0	0	80.0	0	0	0	0	0	0	99.27536231884058	0	46.34146341463415	89.83050847457628	33.333333333333336	0	88.56209150326798
Akkadian	99.94916115912557	0.0	0	66.0749506903353	0	0	66.40063846767757	41.509433962264154	0.0	28.571428571428573	0	0	0	100.0	0	0	0	100.0	0	99.52629085741354	0	0.0	0	100.0	0	0	0	100.0	84.87521110902608	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	2.5925925925925926	24.875776397515526	68.55345911949685	0.0	70.93049078392183
Amharic	0	79.54545454545455	0.0	36.98529411764706	7.210031347962382	0	45.155221072436504	19.587628865979383	2.247191011235955	2.5	0	0	0	97.91666666666667	0	0	0	100.0	0	84.90566037735849	0	86.60287081339713	0	100.0	0	0	84.61538461538461	0	22.15962441314554	0	0	0	0	0	0	16.666666666666668	0	0	0	0	0	0	100.0	0	38.44684914067473	3.658536585365854	84.54861111111111	0	48.51604048721908
Apurinã	0	0.0	0	84.21052631578948	100.0	0	83.09859154929578	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0.0	0	0	0	0	0	0	0	0	20.2020202020202	0	0	0	0	0	0	0	0	0	0	0	0	0	70.08547008547009	0	24.444444444444443	61.111111111111114	0.0	0	56.62020905923345
Akuntsu	100.0	0	0	6.666666666666667	0.0	0	0.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0.0	0	0	0	0	0	44.44444444444444	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	37.5	100.0	100.0	0	30.985915492957748
Arabic	100.0	4.899550600504204	0	97.55977111447497	95.04655493482309	0	97.48973056238684	99.23928833627517	87.34494773519164	72.10834553440702	0	0	0	99.98550829650026	0	0	0	100.0	0	8.62614990197557	0	42.10526315789474	1.9230769230769231	100.0	0	0	100.0	0	93.01212026004785	0	0	0	0	0	100.0	99.54346238130022	0	0	0	0	0	0	77.73239634012053	0	69.89056611378706	94.5064331856281	99.43983867353798	100.0	89.32221638106282
Belarusian	99.96041171813144	0.341130604288499	0	92.70846800258565	80.24971623155506	0	94.67505140834967	69.27659574468085	80.76639646278555	0.4192872117400419	0	0	0	99.96859296482413	0	0	0	100.0	0	5.126050420168068	0	66.21621621621621	22.22222222222222	99.8075577326802	0	0	100.0	99.47183098591549	39.981030440773814	0	0	0	0	0	63.829787234042556	77.61889959589679	0	0	0	0	0	0	54.248786478741444	0	30.48070704893296	76.2142500534912	57.483289741354255	42.857142857142854	66.13378081008028
Bulgarian	100.0	0.08221993833504625	0	93.69532561632941	96.67469879518072	0	95.55237166199244	82.05533596837945	79.25531914893617	100.0	0	0	0	100.0	0	0	0	100.0	0	41.85441941074524	0	47.61215629522431	0	100.0	0	0	100.0	0	29.296947614975647	0	0	0	0	0	0	2.5	0	0	0	0	0	0	61.19775138271829	0	25.845046854082998	86.80827277808832	29.33624031007752	46.55172413793103	71.05224460643237
Bhojpuri	100.0	25.925925925925927	66.66666666666667	12.22707423580786	3.8461538461538463	0	12.828947368421053	49.056603773584904	9.090909090909092	4.638218923933209	0	0	0	99.10714285714286	0	0	0	100.0	0	1.7241379310344827	0	0.0	0	100.0	0	0	100.0	90.0	4.0669856459330145	0	0	0	0	0	0	0	0	0	0	0	0	0	73.81294964028777	0	3.103448275862069	2.684563758389262	72.22222222222223	0	15.280586450960566
Bambara	100.0	1.5151515151515151	0	52.654970760233915	99.28418038654259	0	23.448800913589647	100.0	40.0	100.0	0	0	0	100.0	0	0	0	0	0	83.82642998027613	0	32.26221079691517	12.5	100.0	0	0	0	0	25.322391559202813	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	98.86947584789311	20.0	0.5923532579429187	80.91954022988506	82.92682926829268	30.90909090909091	55.453373945641985
Breton	100.0	2.912621359223301	0	84.70236115729963	71.6726618705036	0	97.22572509457756	90.12345679012346	59.21052631578947	94.73684210526316	0	0	0	99.57805907172995	0	0	0	100.0	0	0.4975124378109453	0	50.0	66.66666666666667	100.0	0	0	0	100.0	78.625	0	0	0	0	0	100.0	75.67567567567568	0	0	0	0	0	0	81.17953165654814	0	57.712305025996535	86.26974483596598	50.0	100.0	72.39057239057239
Buryat	100.0	78.48101265822785	0	3.824626865671642	0.0	0	4.444444444444445	10.714285714285714	1.1904761904761905	1.2422360248447204	0	0	0	99.6415770609319	0	0	0	100.0	0	6.3559322033898304	0	67.08542713567839	100.0	100.0	0	0	100.0	100.0	4.7591577732910295	0	0	0	0	0	42.857142857142854	91.60583941605839	0	0	0	0	0	0	84.95912806539509	0	0.6720430107526881	1.941747572815534	90.9090909090909	0.0	30.23615950445219
Catalan	99.96089676746611	0.15598507968802985	0	90.14872070535753	97.75215126148802	0	89.74463149963434	79.78402812656957	92.38309168878905	99.8236849838378	0	0	0	99.91530550514217	0	0	0	99.70238095238095	0	1.5236512223838217	0	0	0	99.95018817799425	0	0	0	0	64.48904830954743	0	0	0	0	0	100.0	52.15889464594128	0	0	0	0	0	0	59.236921463222764	0	19.362410229462252	88.96713241034301	99.83040702314446	0	71.5636281988407
